"Id","ActivityDate","Hour","METs"
4702921684,2016-05-01,"w-PM10",10
4702921684,2016-05-01,"x-PM11",10
4702921684,2016-05-02,"a-AM12",10
4702921684,2016-05-02,"b-AM1",10
4702921684,2016-05-02,"c-AM2",10
4702921684,2016-05-02,"d-AM3",10
4702921684,2016-05-02,"e-AM4",10
4702921684,2016-05-02,"f-AM5",10
4702921684,2016-05-02,"g-AM6",10
4702921684,2016-05-02,"h-AM7",10
4702921684,2016-05-02,"i-AM8",10
4702921684,2016-05-02,"j-AM9",10
4702921684,2016-05-02,"k-AM10",10
4702921684,2016-05-02,"l-AM11",10
4702921684,2016-05-02,"m-PM12",14
4702921684,2016-05-02,"n-PM1",14
4702921684,2016-05-02,"o-PM2",13
4702921684,2016-05-02,"p-PM3",13
4702921684,2016-05-02,"q-PM4",15
4702921684,2016-05-02,"r-PM5",27
4702921684,2016-05-02,"s-PM6",19
4702921684,2016-05-02,"t-PM7",31
4702921684,2016-05-02,"u-PM8",18
4702921684,2016-05-02,"v-PM9",28
4702921684,2016-05-02,"w-PM10",17
4702921684,2016-05-02,"x-PM11",10
4702921684,2016-05-03,"a-AM12",10
4702921684,2016-05-03,"b-AM1",10
4702921684,2016-05-03,"c-AM2",10
4702921684,2016-05-03,"d-AM3",11
4702921684,2016-05-03,"e-AM4",11
4702921684,2016-05-03,"f-AM5",17
4702921684,2016-05-03,"g-AM6",28
4702921684,2016-05-03,"h-AM7",16
4702921684,2016-05-03,"i-AM8",12
4702921684,2016-05-03,"j-AM9",24
4702921684,2016-05-03,"k-AM10",12
4702921684,2016-05-03,"l-AM11",12
4702921684,2016-05-03,"m-PM12",14
4702921684,2016-05-03,"n-PM1",14
4702921684,2016-05-03,"o-PM2",15
4702921684,2016-05-03,"p-PM3",16
4702921684,2016-05-03,"q-PM4",14
4702921684,2016-05-03,"r-PM5",22
4702921684,2016-05-03,"s-PM6",18
4702921684,2016-05-03,"t-PM7",19
4702921684,2016-05-03,"u-PM8",20
4702921684,2016-05-03,"v-PM9",22
4702921684,2016-05-03,"w-PM10",17
4702921684,2016-05-03,"x-PM11",10
4702921684,2016-05-04,"a-AM12",10
4702921684,2016-05-04,"b-AM1",11
4702921684,2016-05-04,"c-AM2",10
4702921684,2016-05-04,"d-AM3",10
4702921684,2016-05-04,"e-AM4",10
4702921684,2016-05-04,"f-AM5",11
4702921684,2016-05-04,"g-AM6",19
4702921684,2016-05-04,"h-AM7",14
4702921684,2016-05-04,"i-AM8",10
4702921684,2016-05-04,"j-AM9",18
4702921684,2016-05-04,"k-AM10",20
4702921684,2016-05-04,"l-AM11",11
4702921684,2016-05-04,"m-PM12",15
4702921684,2016-05-04,"n-PM1",14
4702921684,2016-05-04,"o-PM2",15
4702921684,2016-05-04,"p-PM3",10
4702921684,2016-05-04,"q-PM4",11
4702921684,2016-05-04,"r-PM5",26
4702921684,2016-05-04,"s-PM6",20
4702921684,2016-05-04,"t-PM7",21
4702921684,2016-05-04,"u-PM8",20
4702921684,2016-05-04,"v-PM9",24
4702921684,2016-05-04,"w-PM10",17
4702921684,2016-05-04,"x-PM11",10
4702921684,2016-05-05,"a-AM12",10
4702921684,2016-05-05,"b-AM1",10
4702921684,2016-05-05,"c-AM2",10
4702921684,2016-05-05,"d-AM3",10
4702921684,2016-05-05,"e-AM4",10
4702921684,2016-05-05,"f-AM5",10
4702921684,2016-05-05,"g-AM6",22
4702921684,2016-05-05,"h-AM7",13
4702921684,2016-05-05,"i-AM8",13
4702921684,2016-05-05,"j-AM9",24
4702921684,2016-05-05,"k-AM10",13
4702921684,2016-05-05,"l-AM11",13
4702921684,2016-05-05,"m-PM12",23
4702921684,2016-05-05,"n-PM1",12
4702921684,2016-05-05,"o-PM2",12
4702921684,2016-05-05,"p-PM3",11
4702921684,2016-05-05,"q-PM4",12
4702921684,2016-05-05,"r-PM5",22
4702921684,2016-05-05,"s-PM6",20
4702921684,2016-05-05,"t-PM7",19
4702921684,2016-05-05,"u-PM8",21
4702921684,2016-05-05,"v-PM9",22
4702921684,2016-05-05,"w-PM10",15
4702921684,2016-05-05,"x-PM11",10
4702921684,2016-05-06,"a-AM12",10
4702921684,2016-05-06,"b-AM1",10
4702921684,2016-05-06,"c-AM2",11
4702921684,2016-05-06,"d-AM3",11
4702921684,2016-05-06,"e-AM4",10
4702921684,2016-05-06,"f-AM5",10
4702921684,2016-05-06,"g-AM6",21
4702921684,2016-05-06,"h-AM7",16
4702921684,2016-05-06,"i-AM8",13
4702921684,2016-05-06,"j-AM9",22
4702921684,2016-05-06,"k-AM10",12
4702921684,2016-05-06,"l-AM11",13
4702921684,2016-05-06,"m-PM12",16
4702921684,2016-05-06,"n-PM1",13
4702921684,2016-05-06,"o-PM2",14
4702921684,2016-05-06,"p-PM3",13
4702921684,2016-05-06,"q-PM4",19
4702921684,2016-05-06,"r-PM5",19
4702921684,2016-05-06,"s-PM6",20
4702921684,2016-05-06,"t-PM7",18
4702921684,2016-05-06,"u-PM8",14
4702921684,2016-05-06,"v-PM9",13
4702921684,2016-05-06,"w-PM10",10
4702921684,2016-05-06,"x-PM11",10
4702921684,2016-05-07,"a-AM12",10
4702921684,2016-05-07,"b-AM1",10
4702921684,2016-05-07,"c-AM2",10
4702921684,2016-05-07,"d-AM3",10
4702921684,2016-05-07,"e-AM4",10
4702921684,2016-05-07,"f-AM5",10
4702921684,2016-05-07,"g-AM6",15
4702921684,2016-05-07,"h-AM7",21
4702921684,2016-05-07,"i-AM8",25
4702921684,2016-05-07,"j-AM9",19
4702921684,2016-05-07,"k-AM10",25
4702921684,2016-05-07,"l-AM11",28
4702921684,2016-05-07,"m-PM12",28
4702921684,2016-05-07,"n-PM1",21
4702921684,2016-05-07,"o-PM2",23
4702921684,2016-05-07,"p-PM3",24
4702921684,2016-05-07,"q-PM4",22
4702921684,2016-05-07,"r-PM5",19
4702921684,2016-05-07,"s-PM6",25
4702921684,2016-05-07,"t-PM7",16
4702921684,2016-05-07,"u-PM8",29
4702921684,2016-05-07,"v-PM9",16
4702921684,2016-05-07,"w-PM10",11
4702921684,2016-05-07,"x-PM11",10
4702921684,2016-05-08,"a-AM12",10
4702921684,2016-05-08,"b-AM1",10
4702921684,2016-05-08,"c-AM2",10
4702921684,2016-05-08,"d-AM3",10
4702921684,2016-05-08,"e-AM4",10
4702921684,2016-05-08,"f-AM5",10
4702921684,2016-05-08,"g-AM6",10
4702921684,2016-05-08,"h-AM7",10
4702921684,2016-05-08,"i-AM8",10
4702921684,2016-05-08,"j-AM9",11
4702921684,2016-05-08,"k-AM10",16
4702921684,2016-05-08,"l-AM11",28
4702921684,2016-05-08,"m-PM12",40
4702921684,2016-05-08,"n-PM1",25
4702921684,2016-05-08,"o-PM2",33
4702921684,2016-05-08,"p-PM3",22
4702921684,2016-05-08,"q-PM4",33
4702921684,2016-05-08,"r-PM5",15
4702921684,2016-05-08,"s-PM6",17
4702921684,2016-05-08,"t-PM7",16
4702921684,2016-05-08,"u-PM8",12
4702921684,2016-05-08,"v-PM9",11
4702921684,2016-05-08,"w-PM10",12
4702921684,2016-05-08,"x-PM11",10
4702921684,2016-05-09,"a-AM12",10
4702921684,2016-05-09,"b-AM1",10
4702921684,2016-05-09,"c-AM2",10
