"Id","ActivityDate","Hour","StepTotal"
4558609924,2016-05-10,"q-PM4",257
4558609924,2016-05-10,"r-PM5",314
4558609924,2016-05-10,"s-PM6",271
4558609924,2016-05-10,"t-PM7",3420
4558609924,2016-05-10,"u-PM8",92
4558609924,2016-05-10,"v-PM9",419
4558609924,2016-05-10,"w-PM10",631
4558609924,2016-05-10,"x-PM11",86
4558609924,2016-05-11,"a-AM12",63
4558609924,2016-05-11,"b-AM1",70
4558609924,2016-05-11,"c-AM2",0
4558609924,2016-05-11,"d-AM3",0
4558609924,2016-05-11,"e-AM4",0
4558609924,2016-05-11,"f-AM5",0
4558609924,2016-05-11,"g-AM6",0
4558609924,2016-05-11,"h-AM7",0
4558609924,2016-05-11,"i-AM8",0
4558609924,2016-05-11,"j-AM9",382
4558609924,2016-05-11,"k-AM10",380
4558609924,2016-05-11,"l-AM11",360
4558609924,2016-05-11,"m-PM12",160
4558609924,2016-05-11,"n-PM1",326
4558609924,2016-05-11,"o-PM2",3580
4558609924,2016-05-11,"p-PM3",527
4558609924,2016-05-11,"q-PM4",374
4558609924,2016-05-11,"r-PM5",170
4558609924,2016-05-11,"s-PM6",627
4558609924,2016-05-11,"t-PM7",504
4558609924,2016-05-11,"u-PM8",272
4558609924,2016-05-11,"v-PM9",596
4558609924,2016-05-11,"w-PM10",285
4558609924,2016-05-11,"x-PM11",432
4558609924,2016-05-12,"a-AM12",0
4558609924,2016-05-12,"b-AM1",0
4558609924,2016-05-12,"c-AM2",0
4558609924,2016-05-12,"d-AM3",0
4558609924,2016-05-12,"e-AM4",0
4558609924,2016-05-12,"f-AM5",0
4558609924,2016-05-12,"g-AM6",0
4558609924,2016-05-12,"h-AM7",49
4558609924,2016-05-12,"i-AM8",246
4558609924,2016-05-12,"j-AM9",700
4558609924,2016-05-12,"k-AM10",826
4558609924,2016-05-12,"l-AM11",440
4558609924,2016-05-12,"m-PM12",698
4558609924,2016-05-12,"n-PM1",1233
4558609924,2016-05-12,"o-PM2",1332
4558609924,2016-05-12,"p-PM3",496
4702921684,2016-04-12,"a-AM12",0
4702921684,2016-04-12,"b-AM1",0
4702921684,2016-04-12,"c-AM2",0
4702921684,2016-04-12,"d-AM3",4
4702921684,2016-04-12,"e-AM4",0
4702921684,2016-04-12,"f-AM5",0
4702921684,2016-04-12,"g-AM6",558
4702921684,2016-04-12,"h-AM7",177
4702921684,2016-04-12,"i-AM8",446
4702921684,2016-04-12,"j-AM9",1264
4702921684,2016-04-12,"k-AM10",353
4702921684,2016-04-12,"l-AM11",209
4702921684,2016-04-12,"m-PM12",937
4702921684,2016-04-12,"n-PM1",20
4702921684,2016-04-12,"o-PM2",257
4702921684,2016-04-12,"p-PM3",6
4702921684,2016-04-12,"q-PM4",130
4702921684,2016-04-12,"r-PM5",890
4702921684,2016-04-12,"s-PM6",620
4702921684,2016-04-12,"t-PM7",46
4702921684,2016-04-12,"u-PM8",480
4702921684,2016-04-12,"v-PM9",659
4702921684,2016-04-12,"w-PM10",157
4702921684,2016-04-12,"x-PM11",0
4702921684,2016-04-13,"a-AM12",0
4702921684,2016-04-13,"b-AM1",0
4702921684,2016-04-13,"c-AM2",185
4702921684,2016-04-13,"d-AM3",0
4702921684,2016-04-13,"e-AM4",0
4702921684,2016-04-13,"f-AM5",0
4702921684,2016-04-13,"g-AM6",409
4702921684,2016-04-13,"h-AM7",256
4702921684,2016-04-13,"i-AM8",223
4702921684,2016-04-13,"j-AM9",125
4702921684,2016-04-13,"k-AM10",122
4702921684,2016-04-13,"l-AM11",167
4702921684,2016-04-13,"m-PM12",253
4702921684,2016-04-13,"n-PM1",71
4702921684,2016-04-13,"o-PM2",182
4702921684,2016-04-13,"p-PM3",57
4702921684,2016-04-13,"q-PM4",38
4702921684,2016-04-13,"r-PM5",840
4702921684,2016-04-13,"s-PM6",474
4702921684,2016-04-13,"t-PM7",725
4702921684,2016-04-13,"u-PM8",329
4702921684,2016-04-13,"v-PM9",1416
4702921684,2016-04-13,"w-PM10",999
4702921684,2016-04-13,"x-PM11",6
4702921684,2016-04-14,"a-AM12",0
4702921684,2016-04-14,"b-AM1",0
4702921684,2016-04-14,"c-AM2",0
4702921684,2016-04-14,"d-AM3",0
4702921684,2016-04-14,"e-AM4",0
4702921684,2016-04-14,"f-AM5",5
4702921684,2016-04-14,"g-AM6",618
4702921684,2016-04-14,"h-AM7",239
4702921684,2016-04-14,"i-AM8",0
4702921684,2016-04-14,"j-AM9",1377
4702921684,2016-04-14,"k-AM10",204
4702921684,2016-04-14,"l-AM11",157
4702921684,2016-04-14,"m-PM12",210
4702921684,2016-04-14,"n-PM1",795
4702921684,2016-04-14,"o-PM2",528
4702921684,2016-04-14,"p-PM3",191
4702921684,2016-04-14,"q-PM4",226
4702921684,2016-04-14,"r-PM5",543
4702921684,2016-04-14,"s-PM6",948
4702921684,2016-04-14,"t-PM7",554
4702921684,2016-04-14,"u-PM8",127
4702921684,2016-04-14,"v-PM9",417
4702921684,2016-04-14,"w-PM10",721
4702921684,2016-04-14,"x-PM11",0
4702921684,2016-04-15,"a-AM12",0
4702921684,2016-04-15,"b-AM1",0
4702921684,2016-04-15,"c-AM2",0
4702921684,2016-04-15,"d-AM3",0
4702921684,2016-04-15,"e-AM4",0
4702921684,2016-04-15,"f-AM5",0
4702921684,2016-04-15,"g-AM6",0
4702921684,2016-04-15,"h-AM7",550
4702921684,2016-04-15,"i-AM8",351
4702921684,2016-04-15,"j-AM9",0
4702921684,2016-04-15,"k-AM10",118
4702921684,2016-04-15,"l-AM11",58
4702921684,2016-04-15,"m-PM12",337
4702921684,2016-04-15,"n-PM1",109
4702921684,2016-04-15,"o-PM2",105
4702921684,2016-04-15,"p-PM3",101
4702921684,2016-04-15,"q-PM4",1006
4702921684,2016-04-15,"r-PM5",406
4702921684,2016-04-15,"s-PM6",755
4702921684,2016-04-15,"t-PM7",553
4702921684,2016-04-15,"u-PM8",623
4702921684,2016-04-15,"v-PM9",794
4702921684,2016-04-15,"w-PM10",562
4702921684,2016-04-15,"x-PM11",78
4702921684,2016-04-16,"a-AM12",0
4702921684,2016-04-16,"b-AM1",0
4702921684,2016-04-16,"c-AM2",0
4702921684,2016-04-16,"d-AM3",0
4702921684,2016-04-16,"e-AM4",33
4702921684,2016-04-16,"f-AM5",28
4702921684,2016-04-16,"g-AM6",0
4702921684,2016-04-16,"h-AM7",365
4702921684,2016-04-16,"i-AM8",385
4702921684,2016-04-16,"j-AM9",187
4702921684,2016-04-16,"k-AM10",1383
4702921684,2016-04-16,"l-AM11",1657
4702921684,2016-04-16,"m-PM12",754
4702921684,2016-04-16,"n-PM1",1463
4702921684,2016-04-16,"o-PM2",744
4702921684,2016-04-16,"p-PM3",191
4702921684,2016-04-16,"q-PM4",843
4702921684,2016-04-16,"r-PM5",452
4702921684,2016-04-16,"s-PM6",194
4702921684,2016-04-16,"t-PM7",848
4702921684,2016-04-16,"u-PM8",634
4702921684,2016-04-16,"v-PM9",973
4702921684,2016-04-16,"w-PM10",0
4702921684,2016-04-16,"x-PM11",0
4702921684,2016-04-17,"a-AM12",0
4702921684,2016-04-17,"b-AM1",0
4702921684,2016-04-17,"c-AM2",0
4702921684,2016-04-17,"d-AM3",0
4702921684,2016-04-17,"e-AM4",0
4702921684,2016-04-17,"f-AM5",0
4702921684,2016-04-17,"g-AM6",0
4702921684,2016-04-17,"h-AM7",9
4702921684,2016-04-17,"i-AM8",551
4702921684,2016-04-17,"j-AM9",1105
4702921684,2016-04-17,"k-AM10",805
4702921684,2016-04-17,"l-AM11",440
4702921684,2016-04-17,"m-PM12",1417
4702921684,2016-04-17,"n-PM1",1214
4702921684,2016-04-17,"o-PM2",3926
4702921684,2016-04-17,"p-PM3",1724
4702921684,2016-04-17,"q-PM4",0
4702921684,2016-04-17,"r-PM5",363
4702921684,2016-04-17,"s-PM6",222
4702921684,2016-04-17,"t-PM7",414
4702921684,2016-04-17,"u-PM8",271
4702921684,2016-04-17,"v-PM9",231
4702921684,2016-04-17,"w-PM10",0
4702921684,2016-04-17,"x-PM11",0
4702921684,2016-04-18,"a-AM12",0
4702921684,2016-04-18,"b-AM1",0
4702921684,2016-04-18,"c-AM2",0
4702921684,2016-04-18,"d-AM3",0
4702921684,2016-04-18,"e-AM4",0
4702921684,2016-04-18,"f-AM5",0
4702921684,2016-04-18,"g-AM6",81
4702921684,2016-04-18,"h-AM7",837
4702921684,2016-04-18,"i-AM8",99
4702921684,2016-04-18,"j-AM9",1272
4702921684,2016-04-18,"k-AM10",110
4702921684,2016-04-18,"l-AM11",0
4702921684,2016-04-18,"m-PM12",961
