"Id","ActivityDate","Hour","Calories"
6775888955,2016-05-01,"g-AM6",77
6775888955,2016-05-01,"h-AM7",77
6775888955,2016-05-01,"i-AM8",77
6775888955,2016-05-01,"j-AM9",77
6775888955,2016-05-01,"k-AM10",77
6775888955,2016-05-01,"l-AM11",77
6775888955,2016-05-01,"m-PM12",182
6775888955,2016-05-01,"n-PM1",163
6775888955,2016-05-01,"o-PM2",77
6775888955,2016-05-01,"p-PM3",77
6775888955,2016-05-01,"q-PM4",135
6775888955,2016-05-01,"r-PM5",224
6775888955,2016-05-01,"s-PM6",77
6775888955,2016-05-01,"t-PM7",77
6775888955,2016-05-01,"u-PM8",77
6775888955,2016-05-01,"v-PM9",77
6775888955,2016-05-01,"w-PM10",77
6775888955,2016-05-01,"x-PM11",77
6775888955,2016-05-02,"a-AM12",77
6775888955,2016-05-02,"b-AM1",77
6775888955,2016-05-02,"c-AM2",77
6775888955,2016-05-02,"d-AM3",77
6775888955,2016-05-02,"e-AM4",77
6775888955,2016-05-02,"f-AM5",77
6775888955,2016-05-02,"g-AM6",77
6775888955,2016-05-02,"h-AM7",77
6775888955,2016-05-02,"i-AM8",77
6775888955,2016-05-02,"j-AM9",77
6775888955,2016-05-02,"k-AM10",77
6775888955,2016-05-02,"l-AM11",77
6775888955,2016-05-02,"m-PM12",77
6775888955,2016-05-02,"n-PM1",77
6775888955,2016-05-02,"o-PM2",77
6775888955,2016-05-02,"p-PM3",77
6775888955,2016-05-02,"q-PM4",77
6775888955,2016-05-02,"r-PM5",77
6775888955,2016-05-02,"s-PM6",77
6775888955,2016-05-02,"t-PM7",77
6775888955,2016-05-02,"u-PM8",77
6775888955,2016-05-02,"v-PM9",77
6775888955,2016-05-02,"w-PM10",77
6775888955,2016-05-02,"x-PM11",77
6775888955,2016-05-03,"a-AM12",77
6775888955,2016-05-03,"b-AM1",77
6775888955,2016-05-03,"c-AM2",77
6775888955,2016-05-03,"d-AM3",77
6775888955,2016-05-03,"e-AM4",77
6775888955,2016-05-03,"f-AM5",77
6775888955,2016-05-03,"g-AM6",77
6775888955,2016-05-03,"h-AM7",77
6775888955,2016-05-03,"i-AM8",77
6775888955,2016-05-03,"j-AM9",77
6775888955,2016-05-03,"k-AM10",77
6775888955,2016-05-03,"l-AM11",77
6775888955,2016-05-03,"m-PM12",77
6775888955,2016-05-03,"n-PM1",77
6775888955,2016-05-03,"o-PM2",77
6775888955,2016-05-03,"p-PM3",77
6775888955,2016-05-03,"q-PM4",77
6775888955,2016-05-03,"r-PM5",77
6775888955,2016-05-03,"s-PM6",77
6775888955,2016-05-03,"t-PM7",77
6775888955,2016-05-03,"u-PM8",77
6775888955,2016-05-03,"v-PM9",77
6775888955,2016-05-03,"w-PM10",79
6775888955,2016-05-03,"x-PM11",77
6775888955,2016-05-04,"a-AM12",77
6775888955,2016-05-04,"b-AM1",77
6775888955,2016-05-04,"c-AM2",77
6775888955,2016-05-04,"d-AM3",77
6775888955,2016-05-04,"e-AM4",77
6775888955,2016-05-04,"f-AM5",77
