"Id","ActivityDate","Hour","Value"
7007744171,2016-04-20,"n-PM1",93
7007744171,2016-04-20,"o-PM2",92
7007744171,2016-04-20,"p-PM3",83
7007744171,2016-04-20,"q-PM4",95
7007744171,2016-04-20,"r-PM5",97
7007744171,2016-04-20,"s-PM6",99
7007744171,2016-04-20,"t-PM7",96
7007744171,2016-04-20,"u-PM8",90
7007744171,2016-04-20,"v-PM9",70
7007744171,2016-04-21,"g-AM6",98
7007744171,2016-04-21,"h-AM7",95
7007744171,2016-04-21,"i-AM8",110
7007744171,2016-04-21,"j-AM9",107
7007744171,2016-04-21,"k-AM10",92
7007744171,2016-04-21,"l-AM11",86
7007744171,2016-04-21,"m-PM12",86
7007744171,2016-04-21,"n-PM1",100
7007744171,2016-04-21,"o-PM2",94
7007744171,2016-04-21,"p-PM3",89
7007744171,2016-04-21,"q-PM4",93
7007744171,2016-04-21,"r-PM5",84
7007744171,2016-04-21,"s-PM6",86
7007744171,2016-04-21,"t-PM7",86
7007744171,2016-04-21,"u-PM8",75
7007744171,2016-04-21,"v-PM9",74
7007744171,2016-04-22,"g-AM6",89
7007744171,2016-04-22,"h-AM7",82
7007744171,2016-04-22,"i-AM8",115
7007744171,2016-04-22,"j-AM9",97
7007744171,2016-04-22,"k-AM10",80
7007744171,2016-04-22,"l-AM11",88
7007744171,2016-04-22,"m-PM12",85
7007744171,2016-04-22,"n-PM1",92
7007744171,2016-04-22,"o-PM2",93
7007744171,2016-04-22,"p-PM3",85
7007744171,2016-04-22,"q-PM4",107
7007744171,2016-04-22,"r-PM5",103
7007744171,2016-04-22,"s-PM6",82
7007744171,2016-04-22,"t-PM7",112
7007744171,2016-04-22,"u-PM8",89
7007744171,2016-04-22,"v-PM9",68
7007744171,2016-04-23,"g-AM6",89
7007744171,2016-04-23,"h-AM7",92
7007744171,2016-04-23,"i-AM8",101
7007744171,2016-04-23,"j-AM9",83
7007744171,2016-04-23,"k-AM10",82
7007744171,2016-04-23,"l-AM11",100
7007744171,2016-04-23,"m-PM12",91
7007744171,2016-04-23,"n-PM1",101
7007744171,2016-04-23,"r-PM5",90
7007744171,2016-04-24,"g-AM6",96
7007744171,2016-04-24,"h-AM7",87
7007744171,2016-04-24,"i-AM8",91
7007744171,2016-04-24,"j-AM9",98
7007744171,2016-04-24,"k-AM10",99
7007744171,2016-04-24,"l-AM11",86
7007744171,2016-04-24,"m-PM12",98
7007744171,2016-04-24,"n-PM1",100
7007744171,2016-04-24,"o-PM2",97
7007744171,2016-04-24,"p-PM3",96
7007744171,2016-04-24,"q-PM4",102
7007744171,2016-04-24,"r-PM5",121
7007744171,2016-04-25,"g-AM6",95
7007744171,2016-04-25,"h-AM7",106
7007744171,2016-04-25,"i-AM8",111
7007744171,2016-04-25,"j-AM9",106
7007744171,2016-04-25,"k-AM10",105
7007744171,2016-04-25,"l-AM11",87
7007744171,2016-04-25,"m-PM12",97
7007744171,2016-04-25,"n-PM1",97
7007744171,2016-04-25,"o-PM2",86
7007744171,2016-04-25,"p-PM3",88
7007744171,2016-04-25,"q-PM4",76
7007744171,2016-04-25,"r-PM5",82
7007744171,2016-04-25,"s-PM6",92
7007744171,2016-04-25,"t-PM7",82
7007744171,2016-04-25,"u-PM8",92
7007744171,2016-04-26,"f-AM5",76
7007744171,2016-04-26,"g-AM6",98
7007744171,2016-04-26,"h-AM7",92
7007744171,2016-04-26,"i-AM8",78
7007744171,2016-04-26,"j-AM9",94
7007744171,2016-04-26,"k-AM10",100
7007744171,2016-04-26,"l-AM11",98
7007744171,2016-04-26,"m-PM12",108
7007744171,2016-04-26,"n-PM1",86
7007744171,2016-04-26,"o-PM2",79
7007744171,2016-04-26,"p-PM3",90
7007744171,2016-04-26,"q-PM4",98
7007744171,2016-04-26,"r-PM5",92
7007744171,2016-04-26,"s-PM6",90
7007744171,2016-04-26,"t-PM7",83
7007744171,2016-04-26,"u-PM8",79
7007744171,2016-04-26,"v-PM9",78
7007744171,2016-04-26,"w-PM10",91
7007744171,2016-04-26,"x-PM11",70
7007744171,2016-04-27,"g-AM6",94
7007744171,2016-04-27,"h-AM7",89
7007744171,2016-04-27,"i-AM8",113
7007744171,2016-04-27,"j-AM9",103
7007744171,2016-04-27,"k-AM10",84
7007744171,2016-04-27,"l-AM11",86
7007744171,2016-04-27,"m-PM12",95
7007744171,2016-04-27,"n-PM1",97
7007744171,2016-04-27,"o-PM2",89
7007744171,2016-04-27,"p-PM3",102
7007744171,2016-04-27,"q-PM4",93
7007744171,2016-04-27,"r-PM5",103
7007744171,2016-04-27,"s-PM6",96
7007744171,2016-04-27,"t-PM7",87
7007744171,2016-04-27,"u-PM8",82
7007744171,2016-04-28,"g-AM6",94
7007744171,2016-04-28,"h-AM7",91
7007744171,2016-04-28,"i-AM8",92
7007744171,2016-04-28,"j-AM9",103
7007744171,2016-04-28,"k-AM10",111
7007744171,2016-04-28,"l-AM11",102
7007744171,2016-04-28,"m-PM12",97
7007744171,2016-04-28,"n-PM1",100
7007744171,2016-04-28,"o-PM2",86
7007744171,2016-04-28,"p-PM3",77
7007744171,2016-04-28,"q-PM4",76
7007744171,2016-04-28,"r-PM5",80
7007744171,2016-04-28,"s-PM6",81
7007744171,2016-04-28,"t-PM7",83
7007744171,2016-04-28,"u-PM8",79
7007744171,2016-04-28,"v-PM9",64
7007744171,2016-04-29,"g-AM6",90
7007744171,2016-04-29,"h-AM7",102
7007744171,2016-04-29,"i-AM8",109
7007744171,2016-04-29,"j-AM9",92
7007744171,2016-04-29,"k-AM10",84
7007744171,2016-04-29,"l-AM11",81
7007744171,2016-04-29,"m-PM12",90
7007744171,2016-04-29,"n-PM1",87
7007744171,2016-04-29,"o-PM2",97
7007744171,2016-04-29,"p-PM3",93
7007744171,2016-04-29,"q-PM4",95
7007744171,2016-04-29,"r-PM5",105
7007744171,2016-04-29,"s-PM6",94
7007744171,2016-04-29,"t-PM7",100
7007744171,2016-04-29,"u-PM8",87
7007744171,2016-04-29,"v-PM9",88
7007744171,2016-04-30,"h-AM7",90
7007744171,2016-04-30,"i-AM8",89
7007744171,2016-04-30,"j-AM9",101
7007744171,2016-04-30,"k-AM10",78
